uniqueID,drugName,condition_clean,rating,sentiment_label,review_word_len
166925,Levonorgestrel,Birth Control,5,NEUTRAL,140
166970,Levonorgestrel,Birth Control,10,POSITIVE,144
98253,Nexplanon,Birth Control,3,NEGATIVE,49
16281,Ethinyl estradiol / norethindrone,Birth Control,1,NEGATIVE,142
222550,Kyleena,Birth Control,8,POSITIVE,136
9442,Lo Loestrin Fe,Birth Control,3,NEGATIVE,138
17410,Ethinyl estradiol / etonogestrel,Birth Control,10,POSITIVE,96
73502,Ethinyl estradiol / norethindrone,Birth Control,4,NEGATIVE,79
165776,Levonorgestrel,Birth Control,9,POSITIVE,61
32992,Seasonique,Birth Control,1,NEGATIVE,86
110422,Nexplanon,Birth Control,9,POSITIVE,136
103798,Ethinyl estradiol / levonorgestrel,Birth Control,1,NEGATIVE,114
187883,Etonogestrel,Birth Control,4,NEGATIVE,44
183597,Cymbalta,Depression,9,POSITIVE,138
225653,Bupropion,Depression,8,POSITIVE,37
201319,Zoloft,Depression,10,POSITIVE,147
63844,Sertraline,Depression,9,POSITIVE,133
93184,Vortioxetine,Depression,9,POSITIVE,98
93089,Vortioxetine,Depression,1,NEGATIVE,101
45917,Fluoxetine,Depression,7,POSITIVE,64
177528,Duloxetine,Depression,8,POSITIVE,116
171645,Wellbutrin,Depression,5,NEUTRAL,144
206025,Pristiq,Depression,10,POSITIVE,71
147146,Alprazolam,Depression,10,POSITIVE,86
121246,Venlafaxine,Depression,6,NEUTRAL,134
140965,Escitalopram,Depression,10,POSITIVE,25
64353,Sertraline,Depression,2,NEGATIVE,132
141385,Escitalopram,Depression,7,POSITIVE,156
163528,Mirtazapine,Depression,10,POSITIVE,36
83366,Paxil,Depression,4,NEGATIVE,62
93261,Vortioxetine,Depression,5,NEUTRAL,107
95075,Abilify,Depression,8,POSITIVE,54
225814,Bupropion,Depression,10,POSITIVE,132
121949,Venlafaxine,Depression,4,NEGATIVE,52
183790,Cymbalta,Depression,8,POSITIVE,120
62753,Citalopram,Depression,9,POSITIVE,21
6561,Wellbutrin XL,Depression,10,POSITIVE,129
63874,Sertraline,Depression,4,NEGATIVE,153
7756,Xanax,Depression,10,POSITIVE,141
102404,Aripiprazole,Depression,5,NEUTRAL,105
93962,Trintellix,Depression,7,POSITIVE,133
225756,Bupropion,Depression,8,POSITIVE,130
93133,Vortioxetine,Depression,3,NEGATIVE,142
27705,Lexapro,Depression,3,NEGATIVE,41
168987,Vilazodone,Depression,8,POSITIVE,30
141613,Escitalopram,Depression,10,POSITIVE,59
89619,Celexa,Depression,5,NEUTRAL,63
176806,Nardil,Depression,8,POSITIVE,39
92818,Vortioxetine,Depression,10,POSITIVE,131
55694,Effexor,Depression,7,POSITIVE,115
45908,Fluoxetine,Depression,9,POSITIVE,56
205610,Pristiq,Depression,10,POSITIVE,68
177193,Duloxetine,Depression,1,NEGATIVE,46
225577,Bupropion,Depression,10,POSITIVE,86
177391,Duloxetine,Depression,8,POSITIVE,128
55703,Effexor,Depression,4,NEGATIVE,145
121462,Venlafaxine,Depression,1,NEGATIVE,129
205787,Pristiq,Depression,10,POSITIVE,36
131870,Effexor XR,Depression,8,POSITIVE,130
186426,Desvenlafaxine,Depression,10,POSITIVE,126
45670,Fluoxetine,Depression,10,POSITIVE,86
93220,Vortioxetine,Depression,1,NEGATIVE,73
225490,Bupropion,Depression,10,POSITIVE,117
181717,Prozac,Depression,9,POSITIVE,50
45257,Fluoxetine,Depression,8,POSITIVE,138
45808,Fluoxetine,Depression,9,POSITIVE,139
197490,Paroxetine,Depression,3,NEGATIVE,92
62702,Citalopram,Depression,9,POSITIVE,22
46307,Modafinil,Depression,10,POSITIVE,47
120995,Venlafaxine,Depression,9,POSITIVE,142
224841,Bupropion,Depression,10,POSITIVE,141
181537,Prozac,Depression,9,POSITIVE,91
185901,Desvenlafaxine,Depression,6,NEUTRAL,75
186330,Desvenlafaxine,Depression,6,NEUTRAL,137
214634,Escitalopram,Depression,1,NEGATIVE,31
169048,Vilazodone,Depression,10,POSITIVE,23
211850,Lamotrigine,Depression,1,NEGATIVE,31
102618,Aripiprazole,Depression,1,NEGATIVE,21
46946,Emsam,Depression,8,POSITIVE,27
94005,Trintellix,Depression,3,NEGATIVE,85
61648,Citalopram,Depression,8,POSITIVE,143
210631,Mirtazapine,Depression,7,POSITIVE,45
141845,Escitalopram,Depression,2,NEGATIVE,110
78165,Zyprexa,Depression,7,POSITIVE,68
62621,Citalopram,Depression,1,NEGATIVE,25
64677,Sertraline,Depression,1,NEGATIVE,94
142099,Escitalopram,Depression,3,NEGATIVE,32
63869,Sertraline,Depression,1,NEGATIVE,99
62021,Citalopram,Depression,5,NEUTRAL,28
3691,Marplan,Depression,9,POSITIVE,119
64304,Sertraline,Depression,10,POSITIVE,149
55824,Effexor,Depression,10,POSITIVE,62
176778,Nardil,Depression,10,POSITIVE,46
177512,Duloxetine,Depression,1,NEGATIVE,124
89353,Celexa,Depression,10,POSITIVE,24
182923,Cymbalta,Depression,9,POSITIVE,117
213300,Nuvigil,Depression,8,POSITIVE,89
122205,Venlafaxine,Depression,2,NEGATIVE,86
70490,Limbitrol,Depression,10,POSITIVE,76
93450,Vortioxetine,Depression,7,POSITIVE,75
97413,St. john's wort,Depression,10,POSITIVE,126
168982,Vilazodone,Depression,8,POSITIVE,115
126275,Viibryd,Depression,1,NEGATIVE,113
61952,Citalopram,Depression,9,POSITIVE,98
225112,Bupropion,Depression,6,NEUTRAL,132
103038,Aripiprazole,Depression,10,POSITIVE,48
62497,Citalopram,Depression,10,POSITIVE,107
161637,Remeron,Depression,10,POSITIVE,130
177882,Duloxetine,Depression,10,POSITIVE,122
45552,Fluoxetine,Depression,10,POSITIVE,54
178483,Duloxetine,Depression,2,NEGATIVE,112
94308,Trintellix,Depression,9,POSITIVE,45
93860,Trintellix,Depression,1,NEGATIVE,131
180308,Diclofenac,Pain,10,POSITIVE,36
180478,Diclofenac,Pain,10,POSITIVE,131
91051,Norco,Pain,9,POSITIVE,42
20714,Nucynta,Pain,10,POSITIVE,137
43855,Acetaminophen / codeine,Pain,1,NEGATIVE,44
231160,Zohydro ER,Pain,10,POSITIVE,141
71923,Tramadol,Pain,10,POSITIVE,102
72024,Tramadol,Pain,10,POSITIVE,130
112359,Gabapentin,Pain,6,NEUTRAL,95
93588,Oxymorphone,Pain,1,NEGATIVE,117
57465,Oxymorphone,Pain,8,POSITIVE,80
41411,Acetaminophen / oxycodone,Pain,10,POSITIVE,31
41250,Acetaminophen / oxycodone,Pain,10,POSITIVE,110
228351,Butrans,Pain,1,NEGATIVE,35
204690,Acetaminophen / propoxyphene,Pain,6,NEUTRAL,26
43560,Hydromorphone,Pain,10,POSITIVE,133
93774,Morphine,Pain,8,POSITIVE,146
189523,Oxycodone,Pain,10,POSITIVE,89
23475,Methadone,Pain,9,POSITIVE,73
43605,Hydromorphone,Pain,10,POSITIVE,84
193790,Naloxone / pentazocine,Pain,10,POSITIVE,123
58181,Acetaminophen / hydrocodone,Pain,10,POSITIVE,29
41323,Acetaminophen / oxycodone,Pain,10,POSITIVE,28
193742,Hydrocodone,Pain,1,NEGATIVE,69
151179,OxyContin,Pain,10,POSITIVE,108
135859,Percocet,Pain,10,POSITIVE,143
189510,Oxycodone,Pain,10,POSITIVE,107
134658,Ketorolac,Pain,10,POSITIVE,37
193809,Hydrocodone,Pain,1,NEGATIVE,146
189645,Oxycodone,Pain,10,POSITIVE,149
164320,Diclofenac,Pain,9,POSITIVE,105
164592,Diclofenac,Pain,10,POSITIVE,73
23550,Methadone,Pain,8,POSITIVE,32
57599,Acetaminophen / hydrocodone,Pain,10,POSITIVE,62
72239,Tramadol,Pain,8,POSITIVE,109
90858,Roxicodone,Pain,5,NEUTRAL,154
206661,Vicoprofen,Pain,9,POSITIVE,95
41379,Acetaminophen / oxycodone,Pain,10,POSITIVE,28
117649,Nortriptyline,Pain,10,POSITIVE,71
118109,Tylox,Pain,9,POSITIVE,70
134651,Ketorolac,Pain,10,POSITIVE,90
36716,Fentanyl,Pain,9,POSITIVE,79
93579,Oxymorphone,Pain,4,NEGATIVE,142
47661,Tapentadol,Pain,7,POSITIVE,70
71722,Tramadol,Pain,9,POSITIVE,121
135803,Percocet,Pain,10,POSITIVE,31
134689,Ketorolac,Pain,10,POSITIVE,37
164125,Ibuprofen,Pain,10,POSITIVE,38
164109,Ibuprofen,Pain,6,NEUTRAL,41
43218,Hydromorphone,Pain,5,NEUTRAL,39
69867,Tylenol,Pain,9,POSITIVE,37
189530,Oxycodone,Pain,9,POSITIVE,87
205035,Toradol,Pain,7,POSITIVE,133
56767,Elavil,Pain,8,POSITIVE,33
204930,Toradol,Pain,9,POSITIVE,98
180324,Diclofenac,Pain,9,POSITIVE,70
22713,Lidocaine,Pain,1,NEGATIVE,55
139703,Etodolac,Pain,4,NEGATIVE,59
57830,Acetaminophen / hydrocodone,Pain,10,POSITIVE,55
36654,Fentanyl,Pain,9,POSITIVE,143
47467,Tapentadol,Pain,3,NEGATIVE,95
72296,Tramadol,Pain,10,POSITIVE,51
43415,Hydromorphone,Pain,1,NEGATIVE,41
87709,Naproxen,Pain,10,POSITIVE,52
57641,Acetaminophen / hydrocodone,Pain,5,NEUTRAL,21
56762,Elavil,Pain,10,POSITIVE,30
139712,Etodolac,Pain,10,POSITIVE,29
22798,Lidocaine,Pain,9,POSITIVE,48
36749,Fentanyl,Pain,9,POSITIVE,138
43489,Hydromorphone,Pain,10,POSITIVE,75
193935,Dilaudid,Pain,10,POSITIVE,112
112186,Gabapentin,Pain,8,POSITIVE,101
218794,Opana ER,Pain,9,POSITIVE,96
57718,Acetaminophen / hydrocodone,Pain,9,POSITIVE,46
69572,Buprenorphine,Pain,5,NEUTRAL,136
193772,Hydrocodone,Pain,1,NEGATIVE,46
193797,Naloxone / pentazocine,Pain,8,POSITIVE,69
27075,Ultram,Pain,4,NEGATIVE,37
47436,Tapentadol,Pain,6,NEUTRAL,136
43355,Hydromorphone,Pain,4,NEGATIVE,121
220261,Amitriptyline,Pain,10,POSITIVE,97
205086,Toradol,Pain,9,POSITIVE,115
5911,Opana,Pain,2,NEGATIVE,32
204717,Acetaminophen / propoxyphene,Pain,5,NEUTRAL,92
57394,Oxymorphone,Pain,9,POSITIVE,117
72543,Tramadol,Pain,7,POSITIVE,24
50609,Gabapentin,Pain,9,POSITIVE,78
205047,Toradol,Pain,7,POSITIVE,20
209046,Meperidine / promethazine,Pain,9,POSITIVE,58
43386,Hydromorphone,Pain,8,POSITIVE,98
57480,Oxymorphone,Pain,10,POSITIVE,37
41320,Acetaminophen / oxycodone,Pain,8,POSITIVE,146
50719,Gabapentin,Pain,10,POSITIVE,53
58059,Acetaminophen / hydrocodone,Pain,8,POSITIVE,62
193868,Hydrocodone,Pain,10,POSITIVE,120
92313,Lyrica,Pain,8,POSITIVE,46
23498,Methadone,Pain,10,POSITIVE,142
25269,Flector Patch,Pain,10,POSITIVE,65
71593,Tramadol,Pain,6,NEUTRAL,152
41213,Acetaminophen / oxycodone,Pain,10,POSITIVE,21
152973,Doxycycline,Acne,9,POSITIVE,109
157960,Accutane,Acne,10,POSITIVE,58
47926,Adapalene,Acne,10,POSITIVE,46
63551,Epiduo,Acne,10,POSITIVE,93
153104,Doxycycline,Acne,3,NEGATIVE,124
47735,Adapalene,Acne,10,POSITIVE,58
137027,Isotretinoin,Acne,2,NEGATIVE,143
42046,Tetracycline,Acne,9,POSITIVE,91
51486,Aczone,Acne,9,POSITIVE,127
63771,Epiduo,Acne,9,POSITIVE,40
161904,Tazarotene,Acne,10,POSITIVE,68
153030,Doxycycline,Acne,6,NEUTRAL,137
10473,Spironolactone,Acne,5,NEUTRAL,137
153013,Doxycycline,Acne,5,NEUTRAL,68
34892,Minocycline,Acne,10,POSITIVE,67
201991,Benzoyl peroxide / clindamycin,Acne,9,POSITIVE,83
153471,Doxycycline,Acne,8,POSITIVE,128
157145,Differin,Acne,8,POSITIVE,124
157700,Accutane,Acne,1,NEGATIVE,75
77952,Retin-A,Acne,9,POSITIVE,141
34825,Minocycline,Acne,1,NEGATIVE,106
46755,Clindamycin,Acne,10,POSITIVE,121
44189,Ethinyl estradiol / norgestimate,Acne,9,POSITIVE,42
179727,Adapalene / benzoyl peroxide,Acne,9,POSITIVE,142
180838,Solodyn,Acne,7,POSITIVE,80
10523,Spironolactone,Acne,7,POSITIVE,51
191932,Drospirenone / ethinyl estradiol,Acne,3,NEGATIVE,64
34663,Minocycline,Acne,2,NEGATIVE,115
137118,Isotretinoin,Acne,10,POSITIVE,126
51743,Aczone,Acne,5,NEUTRAL,112
153617,Doxycycline,Acne,3,NEGATIVE,57
161383,Ortho Tri-Cyclen,Acne,1,NEGATIVE,26
33266,Microgestin Fe 1 / 20,Acne,2,NEGATIVE,87
180796,Solodyn,Acne,3,NEGATIVE,49
10559,Spironolactone,Acne,6,NEUTRAL,123
206727,Duac,Acne,9,POSITIVE,155
10742,Spironolactone,Acne,9,POSITIVE,118
12188,Acanya,Acne,10,POSITIVE,142
159915,Bactrim,Acne,9,POSITIVE,128
102355,Clindamycin / tretinoin,Acne,10,POSITIVE,132
150653,Sulfamethoxazole / trimethoprim,Acne,10,POSITIVE,136
153508,Doxycycline,Acne,9,POSITIVE,121
137131,Isotretinoin,Acne,10,POSITIVE,149
60610,Claravis,Acne,3,NEGATIVE,68
21406,Benzoyl peroxide / erythromycin,Acne,9,POSITIVE,143
202290,Benzoyl peroxide / clindamycin,Acne,9,POSITIVE,113
161295,Ortho Tri-Cyclen,Acne,8,POSITIVE,134
153097,Doxycycline,Acne,5,NEUTRAL,128
157649,Accutane,Acne,10,POSITIVE,62
202859,Gildess Fe 1 / 20,Acne,1,NEGATIVE,140
63712,Epiduo,Acne,9,POSITIVE,68
179654,Adapalene / benzoyl peroxide,Acne,9,POSITIVE,67
63711,Epiduo,Acne,9,POSITIVE,122
34547,Minocycline,Acne,8,POSITIVE,46
137550,Isotretinoin,Acne,7,POSITIVE,129
63515,Epiduo,Acne,10,POSITIVE,148
153209,Doxycycline,Acne,6,NEUTRAL,141
137232,Isotretinoin,Acne,10,POSITIVE,123
84542,Ethinyl estradiol / norgestimate,Acne,9,POSITIVE,91
137095,Isotretinoin,Acne,8,POSITIVE,74
135151,Dapsone,Acne,8,POSITIVE,138
84126,Ethinyl estradiol / norgestimate,Acne,5,NEUTRAL,52
152757,Doxycycline,Acne,8,POSITIVE,79
63303,Epiduo,Acne,10,POSITIVE,70
150789,Sulfamethoxazole / trimethoprim,Acne,4,NEGATIVE,78
15431,Ethinyl estradiol / norethindrone,Acne,10,POSITIVE,22
47731,Adapalene,Acne,1,NEGATIVE,122
157754,Accutane,Acne,9,POSITIVE,142
84768,Ethinyl estradiol / norgestimate,Acne,4,NEGATIVE,145
179637,Adapalene / benzoyl peroxide,Acne,9,POSITIVE,133
15856,Ethinyl estradiol / norethindrone,Acne,1,NEGATIVE,70
179941,Adapalene / benzoyl peroxide,Acne,9,POSITIVE,151
10685,Spironolactone,Acne,5,NEUTRAL,122
137127,Isotretinoin,Acne,9,POSITIVE,97
135107,Dapsone,Acne,9,POSITIVE,136
63474,Epiduo,Acne,9,POSITIVE,69
81584,Yaz,Acne,9,POSITIVE,78
33934,Junel Fe 1 / 20,Acne,7,POSITIVE,114
136821,Isotretinoin,Acne,10,POSITIVE,136
63705,Epiduo,Acne,7,POSITIVE,82
202155,Benzoyl peroxide / clindamycin,Acne,8,POSITIVE,37
137489,Isotretinoin,Acne,10,POSITIVE,43
85204,Ethinyl estradiol / norgestimate,Acne,8,POSITIVE,102
150636,Sulfamethoxazole / trimethoprim,Acne,10,POSITIVE,142
58779,Azelaic acid,Acne,7,POSITIVE,137
51493,Aczone,Acne,10,POSITIVE,79
179581,Adapalene / benzoyl peroxide,Acne,5,NEUTRAL,113
137206,Isotretinoin,Acne,10,POSITIVE,139
137210,Isotretinoin,Acne,7,POSITIVE,65
46748,Clindamycin,Acne,2,NEGATIVE,135
34613,Minocycline,Acne,6,NEUTRAL,69
60635,Claravis,Acne,9,POSITIVE,134
152968,Doxycycline,Acne,10,POSITIVE,98
221560,Ziana,Acne,1,NEGATIVE,69
42050,Tetracycline,Acne,10,POSITIVE,46
10542,Spironolactone,Acne,10,POSITIVE,130
157899,Accutane,Acne,4,NEGATIVE,165
136878,Isotretinoin,Acne,10,POSITIVE,141
34604,Minocycline,Acne,3,NEGATIVE,140
135001,Dapsone,Acne,9,POSITIVE,91
156715,Dulaglutide,"Diabetes, Type 2",9,POSITIVE,134
3561,Insulin detemir,"Diabetes, Type 2",10,POSITIVE,115
230104,Glipizide,"Diabetes, Type 2",3,NEGATIVE,24
11641,Trulicity,"Diabetes, Type 2",10,POSITIVE,146
126363,Xigduo XR,"Diabetes, Type 2",10,POSITIVE,83
2283,Metformin,"Diabetes, Type 2",8,POSITIVE,123
178845,Victoza,"Diabetes, Type 2",8,POSITIVE,65
156707,Dulaglutide,"Diabetes, Type 2",8,POSITIVE,119
156484,Dulaglutide,"Diabetes, Type 2",5,NEUTRAL,64
178974,Victoza,"Diabetes, Type 2",10,POSITIVE,93
86403,Invokana,"Diabetes, Type 2",10,POSITIVE,134
11823,Trulicity,"Diabetes, Type 2",1,NEGATIVE,65
148372,Empagliflozin / linagliptin,"Diabetes, Type 2",4,NEGATIVE,45
82466,Liraglutide,"Diabetes, Type 2",10,POSITIVE,57
79663,Insulin glargine,"Diabetes, Type 2",10,POSITIVE,131
11401,Glimepiride,"Diabetes, Type 2",7,POSITIVE,22
13984,Bydureon,"Diabetes, Type 2",8,POSITIVE,102
105353,Afrezza,"Diabetes, Type 2",1,NEGATIVE,49
156507,Dulaglutide,"Diabetes, Type 2",5,NEUTRAL,135
219585,Synjardy,"Diabetes, Type 2",10,POSITIVE,126
2422,Metformin,"Diabetes, Type 2",8,POSITIVE,22
13808,Bydureon,"Diabetes, Type 2",10,POSITIVE,75
178751,Victoza,"Diabetes, Type 2",9,POSITIVE,42
13881,Bydureon,"Diabetes, Type 2",9,POSITIVE,122
184862,Canagliflozin,"Diabetes, Type 2",6,NEUTRAL,99
32827,Empagliflozin,"Diabetes, Type 2",7,POSITIVE,33
2327,Metformin,"Diabetes, Type 2",9,POSITIVE,55
82328,Liraglutide,"Diabetes, Type 2",9,POSITIVE,43
230082,Glipizide,"Diabetes, Type 2",10,POSITIVE,147
13832,Bydureon,"Diabetes, Type 2",4,NEGATIVE,77
198375,Exenatide,"Diabetes, Type 2",5,NEUTRAL,117
156699,Dulaglutide,"Diabetes, Type 2",8,POSITIVE,123
230136,Glipizide,"Diabetes, Type 2",9,POSITIVE,79
75997,Pioglitazone,"Diabetes, Type 2",2,NEGATIVE,27
103108,Glyburide,"Diabetes, Type 2",9,POSITIVE,60
178969,Victoza,"Diabetes, Type 2",3,NEGATIVE,126
2423,Metformin,"Diabetes, Type 2",6,NEUTRAL,140
179056,Victoza,"Diabetes, Type 2",10,POSITIVE,96
60881,Kombiglyze XR,"Diabetes, Type 2",3,NEGATIVE,58
81677,Liraglutide,"Diabetes, Type 2",9,POSITIVE,113
101145,Actos,"Diabetes, Type 2",2,NEGATIVE,69
178556,Victoza,"Diabetes, Type 2",10,POSITIVE,81
184817,Canagliflozin,"Diabetes, Type 2",10,POSITIVE,56
86436,Invokana,"Diabetes, Type 2",1,NEGATIVE,144
13869,Bydureon,"Diabetes, Type 2",10,POSITIVE,135
230103,Glipizide,"Diabetes, Type 2",5,NEUTRAL,135
79675,Insulin glargine,"Diabetes, Type 2",10,POSITIVE,32
156536,Dulaglutide,"Diabetes, Type 2",10,POSITIVE,143
198307,Exenatide,"Diabetes, Type 2",1,NEGATIVE,44
12924,Glyxambi,"Diabetes, Type 2",8,POSITIVE,126
184716,Canagliflozin,"Diabetes, Type 2",3,NEGATIVE,140
156567,Dulaglutide,"Diabetes, Type 2",1,NEGATIVE,40
13801,Bydureon,"Diabetes, Type 2",9,POSITIVE,123
82208,Liraglutide,"Diabetes, Type 2",10,POSITIVE,138
229276,Humulin R U-500 (Concentrated),"Diabetes, Type 2",10,POSITIVE,21
2072,Metformin,"Diabetes, Type 2",1,NEGATIVE,23
13862,Bydureon,"Diabetes, Type 2",10,POSITIVE,91
79583,Avandia,"Diabetes, Type 2",3,NEGATIVE,39
198317,Exenatide,"Diabetes, Type 2",10,POSITIVE,69
156531,Dulaglutide,"Diabetes, Type 2",10,POSITIVE,126
11904,Trulicity,"Diabetes, Type 2",9,POSITIVE,117
184840,Canagliflozin,"Diabetes, Type 2",10,POSITIVE,108
86609,Invokana,"Diabetes, Type 2",10,POSITIVE,111
201924,Sitagliptin,"Diabetes, Type 2",10,POSITIVE,46
178931,Victoza,"Diabetes, Type 2",10,POSITIVE,78
156777,Dulaglutide,"Diabetes, Type 2",9,POSITIVE,147
11947,Trulicity,"Diabetes, Type 2",7,POSITIVE,45
204267,Tradjenta,"Diabetes, Type 2",1,NEGATIVE,22
82620,Liraglutide,"Diabetes, Type 2",10,POSITIVE,58
86616,Invokana,"Diabetes, Type 2",10,POSITIVE,82
82619,Liraglutide,"Diabetes, Type 2",10,POSITIVE,134
184739,Canagliflozin,"Diabetes, Type 2",4,NEGATIVE,36
86526,Invokana,"Diabetes, Type 2",3,NEGATIVE,28
11915,Trulicity,"Diabetes, Type 2",8,POSITIVE,37
156579,Dulaglutide,"Diabetes, Type 2",8,POSITIVE,134
198458,Exenatide,"Diabetes, Type 2",8,POSITIVE,33
13853,Bydureon,"Diabetes, Type 2",5,NEUTRAL,144
82540,Liraglutide,"Diabetes, Type 2",9,POSITIVE,56
156778,Dulaglutide,"Diabetes, Type 2",1,NEGATIVE,139
86582,Invokana,"Diabetes, Type 2",10,POSITIVE,34
230100,Glipizide,"Diabetes, Type 2",9,POSITIVE,36
13841,Bydureon,"Diabetes, Type 2",10,POSITIVE,46
13956,Bydureon,"Diabetes, Type 2",9,POSITIVE,116
79634,Insulin glargine,"Diabetes, Type 2",10,POSITIVE,101
178680,Victoza,"Diabetes, Type 2",10,POSITIVE,138
178976,Victoza,"Diabetes, Type 2",8,POSITIVE,53
